approach_id,intersection_id,crossing_width_ft,width_iqr_ft,valid_samples
APP_00001,INT_0003,35.0,7.0,5
APP_00002,INT_0003,29.0,6.0,5
APP_00003,INT_0004,51.0,12.0,5
APP_00004,INT_0004,46.0,19.0,5
APP_00005,INT_0004,39.0,16.0,5
APP_00006,INT_0005,17.0,15.0,5
APP_00007,INT_0005,27.0,11.0,5
APP_00008,INT_0005,10.0,1.0,5
APP_00009,INT_0005,19.0,16.0,5
APP_00010,INT_0006,15.0,1.0,5
APP_00011,INT_0007,14.0,0.0,5
APP_00012,INT_0008,51.0,0.0,1
APP_00013,INT_0008,49.0,39.0,5
APP_00014,INT_0008,34.0,57.0,5
APP_00015,INT_0009,14.0,3.0,5
APP_00016,INT_0009,16.0,0.0,5
APP_00017,INT_0010,21.0,13.0,5
APP_00018,INT_0010,31.0,9.0,5
APP_00019,INT_0011,17.0,4.0,5
APP_00020,INT_0012,40.0,10.0,5
APP_00021,INT_0013,61.0,0.0,2
APP_00022,INT_0013,42.0,12.0,5
APP_00023,INT_0014,46.0,17.0,5
APP_00024,INT_0015,25.0,6.0,5
APP_00025,INT_0015,27.0,17.0,5
APP_00026,INT_0016,14.0,10.0,5
APP_00027,INT_0016,50.0,19.0,5
APP_00028,INT_0017,18.0,3.0,5
APP_00029,INT_0018,13.0,2.0,5
APP_00030,INT_0018,11.0,4.0,5
APP_00031,INT_0019,19.0,14.0,5
APP_00032,INT_0020,18.0,3.0,5
APP_00033,INT_0022,5.0,1.0,5
APP_00034,INT_0023,16.0,26.0,5
APP_00035,INT_0023,43.0,15.0,5
APP_00036,INT_0024,47.0,1.0,5
APP_00037,INT_0027,52.0,6.0,5
APP_00038,INT_0027,43.0,28.0,5
APP_00039,INT_0028,34.0,34.0,5
APP_00040,INT_0028,36.0,6.0,5
APP_00041,INT_0029,14.0,19.0,5
APP_00042,INT_0029,20.0,1.0,5
APP_00043,INT_0029,15.0,3.0,5
APP_00044,INT_0030,31.0,43.0,5
APP_00045,INT_0030,51.0,0.0,5
APP_00046,INT_0030,20.0,12.0,5
APP_00047,INT_0031,38.0,12.0,5
APP_00048,INT_0031,38.0,19.0,5
APP_00049,INT_0031,23.0,6.0,5
APP_00050,INT_0031,42.0,23.0,5
APP_00051,INT_0032,13.0,19.0,5
APP_00052,INT_0032,23.0,30.0,5
APP_00053,INT_0032,37.0,16.0,5
APP_00054,INT_0037,80.0,0.0,5
APP_00055,INT_0037,79.0,0.0,5
APP_00056,INT_0037,79.0,0.0,5
APP_00057,INT_0038,33.0,40.0,5
APP_00058,INT_0038,67.0,10.0,5
APP_00059,INT_0038,36.0,39.0,5
APP_00060,INT_0039,75.0,5.0,5
APP_00061,INT_0039,30.0,1.0,5
APP_00062,INT_0039,32.0,32.0,5
APP_00063,INT_0039,12.0,2.0,5
APP_00064,INT_0040,74.0,6.0,2
APP_00065,INT_0040,71.0,2.0,5
APP_00066,INT_0040,27.0,39.0,5
APP_00067,INT_0041,32.0,17.0,5
APP_00068,INT_0041,39.0,12.0,5
