intersection_id,n_legs,mean_crossing_ft,max_crossing_ft,min_crossing_ft
INT_0008,1,60.74393900245059,60.74393900245059,60.74393900245059
INT_0010,1,21.08624196510683,21.08624196510683,21.08624196510683
INT_0022,1,10.333442269342223,10.333442269342223,10.333442269342223
INT_0027,1,19.89151296309717,19.89151296309717,19.89151296309717
INT_0029,1,15.187824916847159,15.187824916847159,15.187824916847159
INT_0038,1,61.73060025970803,61.73060025970803,61.73060025970803
INT_0040,1,56.482891193269225,56.482891193269225,56.482891193269225
INT_0068,1,15.902566773370715,15.902566773370715,15.902566773370715
INT_0078,1,8.572073522869296,8.572073522869296,8.572073522869296
INT_0079,1,10.829515124006411,10.829515124006411,10.829515124006411
INT_0081,1,26.700690216538295,26.700690216538295,26.700690216538295
INT_0082,1,6.616544202595851,6.616544202595851,6.616544202595851
INT_0111,1,15.606500812767113,15.606500812767113,15.606500812767113
INT_0137,1,18.406107250986516,18.406107250986516,18.406107250986516
INT_0139,2,46.899436118944315,49.261275041399216,44.537597196489415
INT_0174,1,13.012132609981887,13.012132609981887,13.012132609981887
INT_0195,2,80.24122317860079,89.69510593718294,70.78734042001862
INT_0241,1,8.57025610341876,8.57025610341876,8.57025610341876
INT_0265,1,16.679734189944874,16.679734189944874,16.679734189944874
INT_0268,1,19.77425434035679,19.77425434035679,19.77425434035679
INT_0278,1,9.843445355671776,9.843445355671776,9.843445355671776
INT_0282,1,26.2603225540573,26.2603225540573,26.2603225540573
INT_0287,1,8.564424999823675,8.564424999823675,8.564424999823675
INT_0289,1,20.371785732713562,20.371785732713562,20.371785732713562
INT_0294,2,24.259761313047733,28.008332120499105,20.511190505596357
INT_0297,2,40.028808303996335,50.20630898110359,29.851307626889085
INT_0303,1,21.660302659875224,21.660302659875224,21.660302659875224
INT_0308,1,10.655762615617867,10.655762615617867,10.655762615617867
INT_0325,1,63.62487531181742,63.62487531181742,63.62487531181742
INT_0326,1,40.534182324391864,40.534182324391864,40.534182324391864
INT_0335,1,46.425979338802534,46.425979338802534,46.425979338802534
INT_0336,1,33.564663203418014,33.564663203418014,33.564663203418014
INT_0338,2,49.94301275515804,72.86478512091531,27.021240389400752
INT_0339,3,71.34112715047607,74.01007914704385,69.84969056423593
INT_0340,2,76.09220714968305,77.5197406739491,74.664673625417
INT_0343,1,89.19120084763424,89.19120084763424,89.19120084763424
INT_0344,1,41.59611622635586,41.59611622635586,41.59611622635586
INT_0345,1,69.66022400188197,69.66022400188197,69.66022400188197
INT_0349,1,40.10694211804637,40.10694211804637,40.10694211804637
INT_0350,1,15.427262861287124,15.427262861287124,15.427262861287124
INT_0353,1,45.51315983829459,45.51315983829459,45.51315983829459
INT_0356,3,13.690046187333648,19.742076115225366,8.753286117524567
INT_0360,2,40.49892569609308,44.48410278480421,36.51374860738196
INT_0364,1,18.97771674229978,18.97771674229978,18.97771674229978
INT_0370,1,10.65870034135213,10.65870034135213,10.65870034135213
INT_0379,1,26.23434388435668,26.23434388435668,26.23434388435668
INT_0381,1,9.073024504440971,9.073024504440971,9.073024504440971
INT_0394,1,22.18475015787146,22.18475015787146,22.18475015787146
INT_0398,2,14.585369021695012,19.17991934624399,9.990818697146034
INT_0406,1,15.897101593762148,15.897101593762148,15.897101593762148
INT_0412,2,37.74309763836837,53.57003918094879,21.91615609578795
INT_0415,1,21.19246183490824,21.19246183490824,21.19246183490824
INT_0416,1,57.746879503220505,57.746879503220505,57.746879503220505
INT_0423,1,5.541566606217971,5.541566606217971,5.541566606217971
INT_0429,1,18.91125851333384,18.91125851333384,18.91125851333384
INT_0431,1,32.2281763980158,32.2281763980158,32.2281763980158
INT_0435,2,34.60928419483403,40.19531780638093,29.02325058328713
INT_0436,2,42.26910725881388,42.81730254002482,41.720911977602945
INT_0437,1,24.572712402995666,24.572712402995666,24.572712402995666
INT_0438,1,40.20429288311119,40.20429288311119,40.20429288311119
INT_0439,1,39.7652754490521,39.7652754490521,39.7652754490521
INT_0441,1,53.50030419437574,53.50030419437574,53.50030419437574
INT_0443,1,25.860245906726217,25.860245906726217,25.860245906726217
INT_0444,1,18.773975463157736,18.773975463157736,18.773975463157736
INT_0445,2,27.88806028567493,45.678405384794736,10.09771518655512
INT_0450,1,6.619316284208376,6.619316284208376,6.619316284208376
INT_0451,1,13.573646529298298,13.573646529298298,13.573646529298298
INT_0453,1,37.584152442283774,37.584152442283774,37.584152442283774
INT_0454,1,57.837999742153926,57.837999742153926,57.837999742153926
INT_0456,1,7.863770081567943,7.863770081567943,7.863770081567943
INT_0457,1,19.28095029214683,19.28095029214683,19.28095029214683
INT_0466,2,21.521534637229195,27.67667228506093,15.36639698939746
INT_0472,1,22.778476488051723,22.778476488051723,22.778476488051723
INT_0481,2,21.506950241828367,30.50634126032678,12.507559223329952
INT_0491,1,19.953956556684904,19.953956556684904,19.953956556684904
