point_id,lat,lon,bearing,arm_direction,intersection_idx
pt_000000,39.954017663629415,-75.15943530903762,180,0,0
pt_000001,39.95396117439026,-75.15936609310648,270,90,0
pt_000002,39.95390790614797,-75.15943949410342,0,180,0
pt_000003,39.953964395342915,-75.15950871004131,90,270,0
pt_000004,39.95420490793173,-75.16100800272503,180,0,1
pt_000005,39.95414841963964,-75.16093878529519,270,90,1
pt_000006,39.954095150390316,-75.1610121852611,0,180,1
pt_000007,39.95415163863822,-75.1610814026977,90,270,1
pt_000008,39.95812780688047,-75.16230919990188,180,0,2
pt_000009,39.95807131937222,-75.16223997739208,270,90,2
pt_000010,39.95801804929946,-75.16231338057682,0,180,2
pt_000011,39.958074536763505,-75.16238260309336,90,270,2
pt_000012,39.95774295626049,-75.16236335015972,180,0,3
pt_000013,39.95768646878479,-75.16229412799711,270,90,3
pt_000014,39.95763319867634,-75.16236753072347,0,180,3
pt_000015,39.95768968610782,-75.16243675289283,90,270,3
pt_000016,39.956314335036,-75.16282100390357,180,0,4
pt_000017,39.95625784783579,-75.16275178281633,270,90,4
pt_000018,39.95620457743046,-75.16282518363987,0,180,4
pt_000019,39.95626106458647,-75.16289440473388,90,270,4
pt_000020,39.95540949992131,-75.16301753433108,180,0,5
pt_000021,39.95535301283939,-75.1629483140025,270,90,5
pt_000022,39.955299742305826,-75.16302171369414,0,180,5
pt_000023,39.95535622934355,-75.16309093402944,90,270,5
pt_000024,39.95629123533148,-75.16268901298969,180,0,6
pt_000025,39.956234748051784,-75.16261979203576,270,90,6
pt_000026,39.95618147773094,-75.16269319293787,0,180,6
pt_000027,39.956237964966434,-75.16276241389856,90,270,6
pt_000028,39.9544643611587,-75.16309427271982,180,0,7
pt_000029,39.95440787412292,-75.16302505329062,270,90,7
pt_000030,39.9543546035378,-75.16309845190074,0,180,7
pt_000031,39.95441109052936,-75.1631676713367,90,270,7
pt_000032,39.953978454359785,-75.16319259577313,180,0,8
pt_000033,39.9539219673832,-75.16312337675731,270,90,8
pt_000034,39.953868696733856,-75.16319677476527,0,180,8
pt_000035,39.953925183666236,-75.16326599378783,90,270,8
pt_000036,39.9533940888286,-75.1633292756543,180,0,9
pt_000037,39.95333760193432,-75.16326005712031,270,90,9
pt_000038,39.95328433119591,-75.16333345438964,0,180,9
pt_000039,39.953340818046016,-75.16340267293037,90,270,9
pt_000040,39.95448895600943,-75.16321697981948,180,0,10
pt_000041,39.95443246904756,-75.16314776026316,270,90,10
pt_000042,39.95437919838386,-75.16322115880364,0,180,10
pt_000043,39.954435685301554,-75.1632903783667,90,270,10
pt_000044,39.951690341718965,-75.16402149019753,180,0,11
pt_000045,39.9516338552415,-75.16395227282406,270,90,11
pt_000046,39.951580584055364,-75.1640256677096,0,180,11
pt_000047,39.95163707048865,-75.16409488508981,90,270,11
pt_000048,39.957761130884634,-75.16250581711206,180,0,12
pt_000049,39.95770464349474,-75.16243659481246,270,90,12
pt_000050,39.95765137329507,-75.1625099974467,0,180,12
pt_000051,39.95770786064075,-75.16257921975307,90,270,12
pt_000052,39.95165192999165,-75.16352454893824,180,0,13
pt_000053,39.95159544321491,-75.16345533201715,270,90,13
pt_000054,39.95154217234703,-75.1635287272509,0,180,13
pt_000055,39.95159865907957,-75.16359794417875,90,270,13
pt_000056,39.95744149874086,-75.15881520442143,180,0,14
pt_000057,39.95738500912854,-75.15874598551692,270,90,14
pt_000058,39.95733174129228,-75.1588193907002,0,180,14
pt_000059,39.957388230860396,-75.15888860961145,90,270,14
pt_000060,39.954335272612376,-75.1620346166027,180,0,15
pt_000061,39.95427878493848,-75.16196539818625,270,90,15
pt_000062,39.954225515031844,-75.16203879748792,0,180,15
pt_000063,39.954282002661536,-75.16210801591112,90,270,15
pt_000064,39.95645647677412,-75.16106428602195,180,0,16
pt_000065,39.956399988516054,-75.16099506625079,270,90,16
pt_000066,39.956346719236436,-75.1610684686057,0,180,16
pt_000067,39.956403207450315,-75.1611376883836,90,270,16
pt_000068,39.95687609808855,-75.16097459455459,180,0,17
pt_000069,39.95681960977652,-75.1609053744304,270,90,17
pt_000070,39.95676634055545,-75.16097877730911,0,180,17
pt_000071,39.9568228288233,-75.16104799744006,90,270,17
pt_000072,39.95610073058712,-75.16114352837064,180,0,18
pt_000073,39.95604424237675,-75.16107430889615,270,90,18
pt_000074,39.95599097304545,-75.16114771080446,0,180,18
pt_000075,39.95604746121163,-75.16121693028572,90,270,18
pt_000076,39.953812242931285,-75.15786264275938,180,0,19
pt_000077,39.95375575274512,-75.15779342834544,270,90,19
pt_000078,39.95370248550977,-75.15786683035371,0,180,19
pt_000079,39.953758975651745,-75.15793604477439,90,270,19
pt_000080,39.95440396197935,-75.15773777125843,180,0,20
pt_000081,39.954347471718016,-75.15766855634539,270,90,20
pt_000082,39.9542942045642,-75.15774195909101,0,180,20
pt_000083,39.95435069478132,-75.15781117401079,90,270,20
pt_000084,39.95341164144449,-75.15957370764541,180,0,21
pt_000085,39.95335515228866,-75.15950449221671,270,90,21
pt_000086,39.95330188395616,-75.15957789245024,0,180,21
pt_000087,39.95335837306779,-75.1596471078857,90,270,21
pt_000088,39.953606705856934,-75.16113394302313,180,0,22
pt_000089,39.95355021764065,-75.16106472609813,270,90,22
pt_000090,39.953496948309116,-75.16113812531889,0,180,22
pt_000091,39.95355343648122,-75.16120734225063,90,270,22
pt_000092,39.95332114627127,-75.15796237070224,180,0,23
pt_000093,39.95326465614514,-75.15789315670581,270,90,23
pt_000094,39.95321138884467,-75.15796655810517,0,180,23
pt_000095,39.953267878926596,-75.15803577210839,90,270,23
pt_000096,39.9532930601087,-75.16237956050904,180,0,24
pt_000097,39.95323657264247,-75.16231034286778,270,90,24
pt_000098,39.95318330251222,-75.16238374077275,0,180,24
pt_000099,39.95323978993423,-75.16245295842074,90,270,24
pt_000100,39.95309359856003,-75.15640099977612,180,0,25
