point_id,lat,lon,bearing,arm_direction,intersection_idx
pt_000000,39.971571691272075,-75.14560600393706,180,0,0
pt_000001,39.97151519370939,-75.1455367816184,270,90,0
pt_000002,39.97146193437423,-75.14561021243647,0,180,0
pt_000003,39.971518431892726,-75.14567943476193,90,270,0
pt_000004,39.97149935028337,-75.14472744699336,180,0,1
pt_000005,39.97144285219172,-75.14465822547938,270,90,1
pt_000006,39.97138959341927,-75.14473165690825,0,180,1
pt_000007,39.971446091466724,-75.14480087842904,90,270,1
pt_000008,39.97269379845927,-75.1444593334379,180,0,2
pt_000009,39.97263730020661,-75.14439011092938,270,90,2
pt_000010,39.972584041609316,-75.14446354386017,0,180,2
pt_000011,39.97264053981777,-75.14453276637548,90,270,2
pt_000012,39.9714558325223,-75.14432863812698,180,0,3
pt_000013,39.97139933419052,-75.14425941698916,270,90,3
pt_000014,39.97134607567347,-75.14433284868376,0,180,3
pt_000015,39.97140257396104,-75.14440206982839,90,270,3
pt_000016,39.971386276400864,-75.14380255758081,180,0,4
pt_000017,39.971329777752345,-75.14373333695157,270,90,4
pt_000018,39.97127651957216,-75.14380676898357,0,180,4
pt_000019,39.971333018176495,-75.1438759896196,90,270,4
pt_000020,39.97132323844281,-75.14333061246398,180,0,5
pt_000021,39.97126673951011,-75.14326139229166,270,90,5
pt_000022,39.971213481632155,-75.14333482462561,0,180,5
pt_000023,39.971269980520646,-75.14340404480474,90,270,5
pt_000024,39.971258182106666,-75.14283836663895,180,0,6
pt_000025,39.97120168287759,-75.1427691469425,270,90,6
pt_000026,39.97114842531486,-75.14284257959214,0,180,6
pt_000027,39.971204924499716,-75.14291179929542,90,270,6
pt_000028,39.97245254234014,-75.14258149344829,180,0,7
pt_000029,39.972396042956845,-75.14251227274809,270,90,7
pt_000030,39.97234278556207,-75.14258570689073,0,180,7
pt_000031,39.972399284901165,-75.14265492759775,90,270,7
pt_000032,39.97116198714321,-75.14211114276564,180,0,8
pt_000033,39.971105487476294,-75.14204192377225,270,90,8
pt_000034,39.97105223037925,-75.14211535688824,0,180,8
pt_000035,39.97110873000196,-75.14218457588841,90,270,8
pt_000036,39.971005602592854,-75.13924675722104,180,0,9
pt_000037,39.97094910120144,-75.13917754077028,270,90,9
pt_000038,39.970895845939296,-75.13925097596349,0,180,9
pt_000039,39.97095234728653,-75.1393201924211,90,270,9
pt_000040,39.97250032227394,-75.13893401096632,180,0,10
pt_000041,39.97244382069474,-75.13886479325222,270,90,10
pt_000042,39.97239056563723,-75.13893823030712,0,180,10
pt_000043,39.972447067172205,-75.13900744802805,90,270,10
pt_000044,39.97109430945086,-75.14005213872177,180,0,11
pt_000045,39.971037808544324,-75.13998292151051,270,90,11
pt_000046,39.97098455276638,-75.14005635616805,0,180,11
pt_000047,39.97104105362872,-75.14012557338614,90,270,11
pt_000048,39.97099008429438,-75.14127202732038,180,0,12
pt_000049,39.970933584122214,-75.14120280920038,270,90,12
pt_000050,39.97088032756234,-75.14127624278854,0,180,12
pt_000051,39.970936827690295,-75.14134546091535,90,270,12
pt_000052,39.9709429269232,-75.14099994589621,180,0,13
pt_000053,39.97088642658723,-75.14093072805063,270,90,13
pt_000054,39.97083317020154,-75.14100416180118,0,180,13
pt_000055,39.97088967049331,-75.14107337965355,90,270,13
pt_000056,39.970928829814234,-75.13868609922964,180,0,14
pt_000057,39.97087232808527,-75.1386168833236,270,90,14
pt_000058,39.97081907318215,-75.13869031887349,0,180,14
pt_000059,39.97087557486692,-75.13875953478635,90,270,14
pt_000060,39.97242792886595,-75.13836123209343,180,0,15
pt_000061,39.972371426941926,-75.13829201492969,270,90,15
pt_000062,39.9723181722512,-75.13836545235549,0,180,15
pt_000063,39.97237467413103,-75.13843466952603,90,270,15
pt_000064,39.970846152833055,-75.13818249421675,180,0,16
pt_000065,39.97078965080088,-75.138113278814,270,90,16
pt_000066,39.97073639622024,-75.13818671466942,0,180,16
pt_000067,39.97079289820821,-75.13825593007897,90,270,16
pt_000068,39.97070900634849,-75.13745372849793,180,0,17
pt_000069,39.97065250387755,-75.13738451384133,270,90,17
pt_000070,39.97059924976349,-75.13745795011992,0,180,17
pt_000071,39.97065575219023,-75.13752716478335,90,270,17
pt_000072,39.972255118400334,-75.13712654651887,180,0,18
pt_000073,39.972198615732964,-75.13705733055862,270,90,18
pt_000074,39.972145361832894,-75.13713076876581,0,180,18
pt_000075,39.972201864456096,-75.13719998473292,90,270,18
pt_000076,39.97059195011637,-75.13680192656071,180,0,19
pt_000077,39.970535447253006,-75.13673271256573,270,90,19
pt_000078,39.97048219355625,-75.13680614922892,0,180,19
pt_000079,39.970538696375435,-75.13687536323073,90,270,19
pt_000080,39.972109447053505,-75.13632866526618,180,0,20
pt_000081,39.97205294390573,-75.13625945011827,270,90,20
pt_000082,39.97199969051653,-75.13633288879365,0,180,20
pt_000083,39.97205619362009,-75.13640210394838,90,270,20
pt_000084,39.97050161021824,-75.13633339317084,180,0,21
pt_000085,39.970445107072806,-75.13626417965779,270,90,21
pt_000086,39.970391853676034,-75.13633761659068,0,180,21
pt_000087,39.97044835677729,-75.13640683011057,90,270,21
pt_000088,39.97202196719911,-75.13585040664361,180,0,22
pt_000089,39.97196546376339,-75.13578119198282,270,90,22
pt_000090,39.9719122106804,-75.13585463093864,0,180,22
pt_000091,39.9719687140719,-75.13592384560627,90,270,22
pt_000092,39.97051649854776,-75.14398696566278,180,0,23
pt_000093,39.970460000009986,-75.1439177457667,270,90,23
pt_000094,39.9704067417092,-75.14399117671354,0,180,23
pt_000095,39.97046324020279,-75.14406039661642,90,270,23
pt_000096,39.97040274386822,-75.1357744926338,180,0,24
pt_000097,39.97034624038627,-75.13570527968653,270,90,24
pt_000098,39.970292987347364,-75.13577871695081,0,180,24
pt_000099,39.97034949078511,-75.1358479299049,90,270,24
pt_000100,39.97192324880258,-75.13530715801782,180,0,25
pt_000101,39.971866745039804,-75.13523794390967,270,90,25
pt_000102,39.97181349230464,-75.13531138318474,0,180,25
pt_000103,39.97186999602322,-75.13538059729973,90,270,25
pt_000104,39.97036223494087,-75.14586108002273,180,0,26
pt_000105,39.970305737531376,-75.14579185872469,270,90,26
pt_000106,39.97025247802938,-75.14586528803491,0,180,26
pt_000107,39.97030897539468,-75.14593450933974,90,270,26
pt_000108,39.97025414782976,-75.1450179961969,180,0,27
pt_000109,39.97019764991262,-75.14494877571046,270,90,27
pt_000110,39.9701443909505,-75.145022205565,0,180,27
pt_000111,39.97020088882344,-75.14509142605826,90,270,27
