point_id,lat,lon,bearing,arm_direction,intersection_idx
pt_000000,39.93103498023482,-75.17217409618146,180,0,0
pt_000001,39.93097849867069,-75.17210489307217,270,90,0
pt_000002,39.93092522221401,-75.17217825925475,0,180,0
pt_000003,39.9309817037339,-75.17224746237076,90,270,0
pt_000004,39.931093515236746,-75.1726324257375,180,0,1
pt_000005,39.93103703394865,-75.17256322218762,270,90,1
pt_000006,39.9309837571985,-75.17263658807404,0,180,1
pt_000007,39.9310402384424,-75.17270579163065,90,270,1
pt_000008,39.93095784482379,-75.17162986357677,180,0,2
pt_000009,39.93090136293194,-75.17156066099842,270,90,2
pt_000010,39.93084808682368,-75.17163402752443,0,180,2
pt_000011,39.9309045686713,-75.17170323010949,90,270,2
pt_000012,39.93088892320528,-75.17106644017382,180,0,3
pt_000013,39.930832440974115,-75.17099723813402,270,90,3
pt_000014,39.9307791652266,-75.17107060502738,0,180,3
pt_000015,39.93083564741356,-75.17113980707389,90,270,3
pt_000016,39.93083161177882,-75.1706235867814,180,0,4
pt_000017,39.93077512928097,-75.17055438516807,270,90,4
pt_000018,39.930721853817,-75.17062775234677,0,180,4
pt_000019,39.93077833627065,-75.1706969539668,90,270,4
pt_000020,39.93075565690656,-75.17004875899319,180,0,5
pt_000021,39.930699174062546,-75.16997955793506,270,90,5
pt_000022,39.930645898966596,-75.17005292548244,0,180,5
pt_000023,39.9307023817664,-75.1701221265473,90,270,5
pt_000024,39.93068819915594,-75.16952042652571,180,0,6
pt_000025,39.930631715993776,-75.16945122597548,270,90,6
pt_000026,39.930578441236115,-75.16952459386425,0,180,6
pt_000027,39.93063492435409,-75.16959379442123,90,270,6
pt_000028,39.93065917658688,-75.16925934953161,180,0,7
pt_000029,39.93060269326748,-75.16919014922794,270,90,7
pt_000030,39.93054941867701,-75.1692635172901,0,180,7
pt_000031,39.93060590195219,-75.16933271760048,90,270,7
pt_000032,39.93063052849105,-75.16908191901567,180,0,8
pt_000033,39.93057404506482,-75.16901271888868,270,90,8
pt_000034,39.93052077058793,-75.169086087059,0,180,8
pt_000035,39.930577253969965,-75.16915528719272,90,270,8
pt_000036,39.930535068377395,-75.16844711247799,180,0,9
pt_000037,39.930478584568895,-75.16837791297591,270,90,9
pt_000038,39.930425310498414,-75.16845128154087,0,180,9
pt_000039,39.93048179426274,-75.16852048104968,90,270,9
pt_000040,39.93218979093433,-75.17135659647958,180,0,10
pt_000041,39.93213330887747,-75.1712873928737,270,90,10
pt_000042,39.932080032946935,-75.17136076094415,0,180,10
pt_000043,39.93213651495958,-75.17142996455678,90,270,10
pt_000044,39.93225817402043,-75.17186144834308,180,0,11
pt_000045,39.93220169226761,-75.17179224424788,270,90,11
