point_id,lat,lon,bearing,arm_direction,intersection_idx
pt_000000,39.95084085809385,-75.20406270568583,180,0,0
pt_000001,39.95078439573513,-75.20399345588856,270,90,0
pt_000002,39.950731098902295,-75.20406681844725,0,180,0
pt_000003,39.95078756121681,-75.20413606825116,90,270,0
pt_000004,39.949988158181036,-75.20346089496809,180,0,1
pt_000005,39.94993169545975,-75.20339164654034,270,90,1
pt_000006,39.94987839901015,-75.2034650086503,0,180,1
pt_000007,39.949934861687225,-75.20353425708471,90,270,1
pt_000008,39.94993723589786,-75.20459703707236,180,0,2
pt_000009,39.949880773861075,-75.20452778775217,270,90,2
pt_000010,39.949827476683865,-75.20460114891573,0,180,2
pt_000011,39.949883938676436,-75.20467039824258,90,270,2
pt_000012,39.95074806185606,-75.20330341573,180,0,3
pt_000013,39.95069159903989,-75.20323416665848,270,90,3
pt_000014,39.950638302693015,-75.20330752971269,0,180,3
pt_000015,39.950694765464995,-75.20337677879088,90,270,3
pt_000016,39.9512674112725,-75.20319032348218,180,0,4
pt_000017,39.95121094838815,-75.2031210739752,270,90,4
pt_000018,39.951157652114986,-75.20319443767906,0,180,4
pt_000019,39.95121411495512,-75.20326368719269,90,270,4
pt_000020,39.946901986308376,-75.20697382895062,180,0,5
pt_000021,39.9468455257038,-75.20690458074908,270,90,5
pt_000022,39.94679222699727,-75.20697793677007,0,180,5
pt_000023,39.94684868755764,-75.20704718497825,90,270,5
pt_000024,39.948261497376734,-75.1988776295739,180,0,6
pt_000025,39.94820503189421,-75.19880838671588,270,90,6
pt_000026,39.948151738375195,-75.19888175055695,0,180,6
pt_000027,39.94820820381349,-75.19895099342162,90,270,6
pt_000028,39.947769751827884,-75.19868213143862,180,0,7
pt_000029,39.947713286227625,-75.19861288924433,270,90,7
pt_000030,39.947659992832584,-75.1986862527077,0,180,7
pt_000031,39.94771645838865,-75.19875549490864,90,270,7
pt_000032,39.94877543738811,-75.19289937111826,180,0,8
pt_000033,39.94871896830406,-75.19283013270577,270,90,8
pt_000034,39.948665678614624,-75.19290350179185,0,180,8
pt_000035,39.94872214765447,-75.19297274021102,90,270,8
pt_000036,39.94783833125874,-75.19381304894621,180,0,9
pt_000037,39.947781862725144,-75.19374381072937,270,90,9
pt_000038,39.94772857244833,-75.19381717808658,0,180,9
pt_000039,39.947785040937674,-75.19388641631011,90,270,9
pt_000040,39.947374726384375,-75.19487212610531,180,0,10
pt_000041,39.94731825848884,-75.19480288748063,270,90,10
pt_000042,39.94726496753266,-75.19487625350634,0,180,10
pt_000043,39.94732143538399,-75.19494549213768,90,270,10
pt_000044,39.948952767002545,-75.18967400143376,180,0,11
pt_000045,39.948896295975544,-75.18960476552175,270,90,11
pt_000046,39.94884300835209,-75.18967813732954,0,180,11
pt_000047,39.94889947933491,-75.18974737324822,90,270,11
pt_000048,39.950384649349026,-75.1916901135637,180,0,12
pt_000049,39.950328179536456,-75.19162087451623,270,90,12
pt_000050,39.950274890625394,-75.19169424628905,0,180,12
pt_000051,39.95033136039378,-75.19176348534319,90,270,12
pt_000052,39.95004081304719,-75.20158497994369,180,0,13
pt_000053,39.949984349195674,-75.20151573302152,270,90,13
pt_000054,39.949931053947424,-75.20158909666017,0,180,13
pt_000055,39.94998751775472,-75.20165834358899,90,270,13
pt_000056,39.94982418327367,-75.20141184129976,180,0,14
pt_000057,39.94976771931787,-75.20134259474234,270,90,14
pt_000058,39.94971442417993,-75.20141595828287,0,180,14
pt_000059,39.94977088809153,-75.20148520484695,90,270,14
pt_000060,39.94886255766168,-75.19600859739937,180,0,15
pt_000061,39.9488060904507,-75.19593935631352,270,90,15
pt_000062,39.94875279877038,-75.19601272305452,0,180,15
pt_000063,39.948809265937165,-75.19608196414704,90,270,15
pt_000064,39.94566854323516,-75.19026225733921,180,0,16
pt_000065,39.94561207256273,-75.1901930242854,270,90,16
pt_000066,39.945558784554564,-75.19026639208464,0,180,16
pt_000067,39.94561525518277,-75.19033562514511,90,270,16
pt_000068,39.94360636383595,-75.19257376488767,180,0,17
pt_000069,39.943549894556234,-75.19250453201406,270,90,17
pt_000070,39.94349660506281,-75.19257789577308,0,180,17
pt_000071,39.94355307429832,-75.19264712865335,90,270,17
pt_000072,39.948629122715985,-75.18618829535008,180,0,18
pt_000073,39.94857264958927,-75.18611906266567,270,90,18
pt_000074,39.94851936419738,-75.18619243685816,0,180,18
pt_000075,39.94857583727988,-75.18626166954928,90,270,18
pt_000076,39.943779880460475,-75.19585191444378,180,0,19
pt_000077,39.94372341315556,-75.19578267866855,270,90,19
pt_000078,39.9436701215633,-75.19585604004344,0,180,19
pt_000079,39.94372658882399,-75.19592527582537,90,270,19
pt_000080,39.947544216685245,-75.18766490364153,180,0,20
pt_000081,39.947487744448075,-75.1875956708353,270,90,20
pt_000082,39.947434458107836,-75.1876690426977,0,180,20
pt_000083,39.94749093030083,-75.18773827551064,90,270,20
pt_000084,39.94528906160935,-75.19061034415994,180,0,21
pt_000085,39.945232591146656,-75.19054111120353,270,90,21
pt_000086,39.94517930291466,-75.19061447831989,0,180,21
pt_000087,39.94523577333313,-75.19068371128297,90,270,21
pt_000088,39.9444728121554,-75.19784213622187,180,0,22
pt_000089,39.94441634604939,-75.19777289808617,270,90,22
pt_000090,39.944363053184276,-75.1978462586481,0,180,22
pt_000091,39.94441951924609,-75.19791549679046,90,270,22
pt_000092,39.9441119637169,-75.19674386006704,180,0,23
pt_000093,39.94405549694928,-75.19667462321198,270,90,23
pt_000094,39.944002204786635,-75.19674798424582,0,180,23
pt_000095,39.94405867151005,-75.19681722110754,90,270,23
pt_000096,39.943699978541936,-75.19643222090416,180,0,24
pt_000097,39.94364351158663,-75.196362984728,270,90,24
pt_000098,39.943590219622564,-75.19643634556141,0,180,24
pt_000099,39.94364668653367,-75.19650558174423,90,270,24
pt_000100,39.94614275683579,-75.19846548746543,180,0,25
pt_000101,39.94608629110514,-75.19839624710957,270,90,25
pt_000102,39.94603299784488,-75.19846960898583,0,180,25
pt_000103,39.946089463531315,-75.19853884934837,90,270,25
pt_000104,39.94932018806853,-75.19504094633959,180,0,26
pt_000105,39.949263720274594,-75.19497170559163,270,90,26
pt_000106,39.949210429215064,-75.19504507358603,0,180,26
pt_000107,39.9492668969648,-75.19511431434066,90,270,26
pt_000108,39.94927518132387,-75.19954605840034,180,0,27
pt_000109,39.94921871624401,-75.19947681395342,270,90,27
pt_000110,39.94916542229946,-75.19955017836485,0,180,27
pt_000111,39.94922188733512,-75.19961942281842,90,270,27
pt_000112,39.94799579436862,-75.19345821193419,180,0,28
pt_000113,39.94793932562127,-75.19338897385181,270,90,28
pt_000114,39.94788603557203,-75.19346234165745,0,180,28
pt_000115,39.94794250427519,-75.1935315797465,90,270,28
pt_000116,39.947645122502735,-75.19128165415032,180,0,29
pt_000117,39.94758865244424,-75.19121241823466,270,90,29
pt_000118,39.94753536378803,-75.19128578736898,0,180,29
pt_000119,39.94759183380233,-75.19135502329131,90,270,29
pt_000120,39.94638193388215,-75.1970866364624,180,0,30
pt_000121,39.94632546732079,-75.19701739700886,270,90,30
pt_000122,39.94627217494408,-75.19709076022512,0,180,30
pt_000123,39.94632864146123,-75.19715999968534,90,270,30
pt_000124,39.944058789575955,-75.19236860213108,180,0,31
pt_000125,39.94400232017258,-75.19229936896694,270,90,31
pt_000126,39.943949030811645,-75.19237273337546,0,180,31
pt_000127,39.94400550017081,-75.19244196654627,90,270,31
pt_000128,39.9504031616707,-75.1994724365619,180,0,32
pt_000129,39.95034669654643,-75.19940319102635,270,90,32
pt_000130,39.95029340265183,-75.19947655671378,0,180,32
pt_000131,39.95034986773188,-75.19954580225597,90,270,32
pt_000132,39.95006087282699,-75.2012701871795,180,0,33
pt_000133,39.950004408785844,-75.20120094049854,270,90,33
pt_000134,39.949951113739196,-75.20127430440583,0,180,33
pt_000135,39.95000757773614,-75.20134355109342,90,270,33
pt_000136,39.94993833217467,-75.20105310810118,180,0,34
pt_000137,39.94988186800272,-75.20098386172559,270,90,34
pt_000138,39.949828573094784,-75.20105722567084,0,180,34
pt_000139,39.949885037222515,-75.2011264720531,90,270,34
pt_000140,39.94458464742321,-75.19611323716455,180,0,35
pt_000141,39.94452818027564,-75.19604400035192,270,90,35
pt_000142,39.944474888517924,-75.19611736239088,0,180,35
pt_000143,39.9445313556213,-75.1961865992102,90,270,35
pt_000144,39.94670665384698,-75.19288457863412,180,0,36
pt_000145,39.94665018475417,-75.19281534234251,270,90,36
pt_000146,39.94659689506914,-75.19288870920586,0,180,36
pt_000147,39.946653364117765,-75.19295794550416,90,270,36
pt_000148,39.945771195537205,-75.1951826249742,180,0,37
pt_000149,39.94571472782886,-75.19511338772578,270,90,37
pt_000150,39.945661436669944,-75.19518675177613,0,180,37
pt_000151,39.94571790433406,-75.19525598903122,90,270,37
pt_000152,39.946862827633915,-75.19601398080087,180,0,38
pt_000153,39.946806360426294,-75.19594474174879,270,90,38
pt_000154,39.94675306873766,-75.19601810632588,0,180,38
pt_000155,39.94680953590107,-75.19608734538461,90,270,38
pt_000156,39.94231998601966,-75.19388681009443,180,0,39
pt_000157,39.94226351753114,-75.19381757744034,270,90,39
pt_000158,39.94221022719384,-75.19389093878027,0,180,39
pt_000159,39.94226669563815,-75.19396017144103,90,270,39
pt_000160,39.944943872528206,-75.19291368706843,180,0,40
pt_000161,39.944887403453095,-75.19284445254918,270,90,40
pt_000162,39.9448341137452,-75.19291781748595,0,180,40
pt_000163,39.9448905827761,-75.19298705201186,90,270,40
pt_000164,39.95132129860082,-75.1992054051945,180,0,41
pt_000165,39.951264833315705,-75.19913615894497,270,90,41
pt_000166,39.95121153959434,-75.19920952583352,0,180,41
pt_000167,39.95126800483529,-75.19927877208971,90,270,41
pt_000168,39.951406839836025,-75.19988455690846,180,0,42
pt_000169,39.951350374960064,-75.19981531000718,270,90,42
pt_000170,39.95129708080403,-75.19988867645529,0,180,42
pt_000171,39.95135354563581,-75.19995792336321,90,270,42
pt_000172,39.95152242411883,-75.20080228318776,180,0,43
pt_000173,39.95146595979574,-75.20073303540579,270,90,43
pt_000174,39.951412665052366,-75.2008064012587,0,180,43
pt_000175,39.95146912933123,-75.2008756490473,90,270,43
pt_000176,39.95962962647679,-75.1970394002275,180,0,44
pt_000177,39.95957315988729,-75.19697014730805,270,90,44
pt_000178,39.95951986757431,-75.1970435248708,0,180,44
pt_000179,39.95957633411962,-75.1971127777969,90,270,44
pt_000180,39.958581828108045,-75.19517013560281,180,0,45
pt_000181,39.958525360392294,-75.19510088530578,270,90,45
pt_000182,39.9584720692736,-75.19517426320321,0,180,45
pt_000183,39.95852853694514,-75.19524351350691,90,270,45
pt_000184,39.95787077934468,-75.19380655252306,180,0,46
pt_000185,39.95781431080738,-75.19373730408462,270,90,46
pt_000186,39.95776102056003,-75.19381068228375,0,180,46
pt_000187,39.95781748905311,-75.19387993072885,90,270,46
pt_000188,39.957643132837184,-75.19175021338305,180,0,47
pt_000189,39.95758666306112,-75.19168096688631,270,90,47
pt_000190,39.95753337413004,-75.19175434645287,0,180,47
